digital_id,item_id,title,date,description,subjects,location,latitude,longitude,type
bar-stock/id/0,8-X00001a,"Hercules Mine, Burke (Idaho)",,"A distant view of Hercules Mine in Burke, Idaho.",mines (extracting complexes);mine buildings;iron mines;silver mines;Hercules Mine (Idaho);Silver mines and mining--Idaho;Mines and mineral resources -- Idaho;Wooden-frame buildings;Mining;Mine buildings,Burke,47.542337,-115.808902,Image;StillImage
bar-stock/id/1,8-X00004d,"Little Pittsburg, Kellogg (Idaho)",,A snow covered setting with the sun shining through the trees shows the road that leads to Beebe Bros. Mine.,mines (extracting complexes);silver mines;Mines and mineral resources -- Idaho;Mining;Mine buildings,Kellogg (Masonia),47.479804,-116.199539,Image;StillImage
bar-stock/id/4,8-X00085,"Frisco Mill-Explosion, Gem (Idaho), 1892",1892-07-11,"View of the Frisco Mill-Explosion in Gem, Idaho after dynamite explosion set by Union Strikers.",buildings (structures);mills (buildings);railroads;explosions;Debris;Wooden buildings,Gem (Burke),47.507922,-115.869847,Image;StillImage
bar-stock/id/5,8-X00086,"Frisco Mill-Explosion, Gem (Idaho), 1892",1892-07-11,"View of the Frisco Mill-Explosion in Gem, Idaho after dynamite explosion set by Union Strikers.",buildings (structures);mills (buildings);railroads;explosions;Debris;Wooden buildings,Gem (Burke),47.507932,-115.869857,Image;StillImage
bar-stock/id/6,8-X00087,"Wallace (Idaho), Forest fire of 1910, Coeur d'Alene Hardware Warehouse",1910-08-20,"Image shows the debris from the Coeur d'Alene Hardware Warehouse on September 3, 1910 after  the fire on August 20, 1910 swept went through Wallace, Idaho.",fires;groups of people;railroads;business (commercial function);Debris;Cities and towns;Men;Women,Wallace,47.471576,-115.923782,Image;StillImage
bar-stock/id/7,8-X00048,"Wallace (Idaho), Wallace National Bank building, 1912",1912-08-19,"Exterior view of the Wallace National Bank in Wallace, Idaho on the corner of 6th and Cedar.  Caption on front: '6th and Cedar'",banks (financial institutions);buildings (structures);groups of people;automobiles;business (commercial function);Banks;Stone Buildings;Men;Women;Children;Automobiles,Wallace,47.474095,-115.927939,Image;StillImage
bar-stock/id/8,8-X00088,"Wallace (Idaho), Forest fire of 1910, Coeur d'Alene Hardware Warehouse",1910-08-20,"Image shows the debris from the Coeur d'Alene Hardware Warehouse on September 3, 1910 after  the fire on August 20, 1910 swept went through Wallace, Idaho.",fires;business (commercial function);Debris;Buildings;Bricks;Cities and towns,Wallace,47.471586,-115.923772,Image;StillImage
bar-stock/id/9,8-X00089a,"Wallace (Idaho), Forest fire of 1910, Brewery",1910-08-20,"Image shows the brewery in Wallace, Idaho after the fire of August 20, 1910.",fires;buildings (structures);business (commercial function);Debris;Buildings;Bricks;Cities and towns,Wallace,47.471615,-115.922218,Image;StillImage
bar-stock/id/10,8-X00089b,"Wallace (Idaho), Forest fire of 1910",1910-08-25,"Image of Wallace, Idaho after the fire of August 20, 1910.",fires;buildings (structures);railroads;railroads cars;Debris;Buildings;Bricks;Cities and towns,Wallace,47.471605,-115.922208,Image;StillImage
bar-stock/id/11,8-X00090,"Wallace (Idaho), Forest fire of 1910",1910,"Image of Wallace, Idaho after the fire of August 20, 1910.   Caption on front: 'General view from Samuel's Hotel, showing Oregon, Washington Railroad and Navigation station, August 20, 1910'",fires;buildings (structures);railroads;railroads cars;Debris;Buildings;Bricks;Cities and towns,Wallace,47.471625,-115.922228,Image;StillImage
